leftArmpitAngle,rightArmpitAngle,leftShoulderAngle,rightShoulderAngle,leftElbowAngle,rightElbowAngle,leftHipAngle,rightHipAngle,leftGroinAngle,rightGroinAngle,leftKneeAngle,rightKneeAngle,slope,verticalPose,ratioAvg,action
47.55,14.77,47.55,14.77,124.69,51.41,91.55,67.35,91.55,67.35,146.91,93.26,0.07918507564245314,-1000,1.4262995214909822,pushdown
86.22,3.16,86.22,3.16,94.2,81.57,170.58,9.37,170.58,9.37,128.98,114.35,0.2255973788257487,-1000,1.5227085919342285,pushdown
51.36,8.39,51.36,8.39,137.18,87.67,175.84,11.2,175.84,11.2,112.65,122.17,0.2504633164693418,-1000,1.4287036275242486,pushdown
59.21,24.85,59.21,24.85,142.24,116.72,45.52,146.64,45.52,146.64,145.97,133.91,0.10435466790118797,-1000,2.0217882182613045,pushdown
43.04,7.28,43.04,7.28,145.94,86.59,93.65,73.71,93.65,73.71,139.48,122.24,0.35801175135668095,-1000,2.249623179740248,pushdown
71.19,19.58,71.19,19.58,164.53,103.46,81.42,106.16,81.42,106.16,137.17,102.95,0.35239725969421454,-1000,2.044711456535222,pushdown
55.1,22.22,55.1,22.22,136.9,132.97,155.92,51.34,155.92,51.34,105.18,138.11,0.3894879618299187,-1000,1.8895625646143337,pushdown
49.42,19.28,49.42,19.28,124.16,124.88,163.75,23.51,163.75,23.51,109.97,128.4,0.4329171650497794,-1000,1.66520381910071,pushdown
46.12,18.88,46.12,18.88,122.63,94.45,109.02,68.75,109.02,68.75,109.12,112.38,0.1962243568960257,-1000,1.8327264282789706,pushdown
45.78,0.64,45.78,0.64,164.35,66.07,120.37,51.18,120.37,51.18,134.28,98.01,0.1322631896319623,-1000,1.6143376758500072,pushdown
36.97,21.97,36.97,21.97,155.64,42.03,58.54,113.69,58.54,113.69,155.6,102.41,0.14793612277034657,-1000,1.5470539667185266,pushdown
45.79,20.11,45.79,20.11,145.53,51.94,84.42,94.85,84.42,94.85,139.88,100.78,0.052000354515018055,-1000,1.4136491185031792,pushdown
43.82,5.18,43.82,5.18,142.99,78.62,127.17,63.81,127.17,63.81,147.97,93.24,0.23577456658950358,-1000,1.804656710258326,pushdown
75.77,0.8,75.77,0.8,164.42,87.15,141.03,22.95,141.03,22.95,149.81,111.36,0.27361730040990934,-1000,1.7859019655303796,pushdown
63.64,19.7,63.64,19.7,165.87,122.04,161.4,41.63,161.4,41.63,133.46,123.63,0.41813932526568803,-1000,1.9254116846861766,pushdown
51.74,19.53,51.74,19.53,136.23,113.8,16.55,173.1,16.55,173.1,150.93,123.35,0.16914865811684202,-1000,2.0719383259376216,pushdown
38.94,37.49,38.94,37.49,177.15,165.07,80.11,99.21,80.11,99.21,161.59,179.39,1.0325966768161867,-1000,1.7016921713787259,pushup
